date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:57:30	106/106	---M-Z	200	added ('OK')	text/plain	etag:%22c8bd6b920c105200fb5f36f55d76c82c%22	https://resourcesnews.framer.website/robots.txt		(from )
00:57:30	550429/550429	---M-Z	200	added ('OK')	text/html	etag:%220996f57820860e3765998ed6c50a8716%22	https://resourcesnews.framer.website/	C:/Users/rekhi/Desktop/report/resourcesnews.framer.website/index.html	(from )
00:57:31	1515/1515	---MC-	200	added ('OK')	image/png	etag:%22c9f3f96d4330b385cbc3d300603d026c%22	https://framerusercontent.com/images/xgI9dBgp56ioqIQDKNmzgCijm0k.png	C:/Users/rekhi/Desktop/report/framerusercontent.com/images/xgI9dBgp56ioqIQDKNmzgCijm0k.png	(from https://resourcesnews.framer.website/)
00:57:31	306087/306087	---M-Z	404	error ('Not%20Found')	text/html	etag:%2217f78b49ef57f6403540404a16fcc446%22	https://resourcesnews.framer.website/[object%20Object]	C:/Users/rekhi/Desktop/report/resourcesnews.framer.website/[object%20Object].1.delayed	(from https://resourcesnews.framer.website/)
00:57:31	25844/25844	---MC-	200	added ('OK')	image/png	etag:%220b9c41d5781ae6927a92d4a538ebad27%22	https://framerusercontent.com/images/M5BYpFV5ukCc6wJlq4Wqvkzw.png	C:/Users/rekhi/Desktop/report/framerusercontent.com/images/M5BYpFV5ukCc6wJlq4Wqvkzw.png	(from https://resourcesnews.framer.website/)
00:57:34	534294/534294	---MC-	200	added ('OK')	image/png	etag:%22968b65d939f7c5a9d02a2bb5268a5032%22	https://framerusercontent.com/images/pFMcgVCWy5I4am5uUCi4DCvWxc.png?width=1179&height=2556	C:/Users/rekhi/Desktop/report/framerusercontent.com/images/pFMcgVCWy5I4am5uUCi4DCvWxc3cde.png	(from https://resourcesnews.framer.website/)
00:57:34	21553/21553	---MC-	200	added ('OK')	image/png	etag:%224cd6c7a512e19fe5abc25b1acc50113b%22	https://framerusercontent.com/images/eAg2dLwe0nnOJFvsNlzHWvHjaco.jpg?scale-down-to=512&width=997&height=256	C:/Users/rekhi/Desktop/report/framerusercontent.com/images/eAg2dLwe0nnOJFvsNlzHWvHjacoa2d5.png	(from https://resourcesnews.framer.website/)
00:57:34	21283/21283	---MC-	200	added ('OK')	image/png	etag:%22cffa5296123c19916c00db35bd729cdc%22	https://framerusercontent.com/images/pzHTsJpJrxReo3O43nzG66bzmEk.jpg?scale-down-to=512&width=999&height=277	C:/Users/rekhi/Desktop/report/framerusercontent.com/images/pzHTsJpJrxReo3O43nzG66bzmEke80c.png	(from https://resourcesnews.framer.website/)
00:57:34	95154/95154	---MC-	200	added ('OK')	image/png	etag:%22403f41c48c19fe305ccf4fdaf301e7f6%22	https://framerusercontent.com/images/7cFYgLltsi05ALWahcrJPiCuWg.jpg?width=1024&height=278	C:/Users/rekhi/Desktop/report/framerusercontent.com/images/7cFYgLltsi05ALWahcrJPiCuWgad0b.png	(from https://resourcesnews.framer.website/)
00:57:35	16376/16376	---MC-	200	added ('OK')	image/jpeg	etag:%22f5fba5933467d8b49964b849ca04694e%22	https://framerusercontent.com/images/Mpaf4jZcr9hlmO2vnEcxfjUgL0.jpg?scale-down-to=512&width=1024&height=290	C:/Users/rekhi/Desktop/report/framerusercontent.com/images/Mpaf4jZcr9hlmO2vnEcxfjUgL012cc.jpg	(from https://resourcesnews.framer.website/)
